,Month,Year,Decades
0,1,2005,2000
1,2,2005,2000
2,3,2005,2000
3,4,2005,2000
4,5,2005,2000
5,6,2005,2000
6,7,2005,2000
7,8,2005,2000
8,9,2005,2000
9,10,2005,2000
10,11,2005,2000
11,12,2005,2000
12,1,2006,2000
13,2,2006,2000
14,3,2006,2000
15,4,2006,2000
16,5,2006,2000
17,6,2006,2000
18,7,2006,2000
19,8,2006,2000
20,9,2006,2000
21,10,2006,2000
22,11,2006,2000
23,12,2006,2000
24,1,2007,2000
25,2,2007,2000
26,3,2007,2000
27,4,2007,2000
28,5,2007,2000
29,6,2007,2000
30,7,2007,2000
31,8,2007,2000
32,9,2007,2000
33,10,2007,2000
34,11,2007,2000
35,12,2007,2000
36,1,2008,2000
37,2,2008,2000
38,3,2008,2000
39,4,2008,2000
40,5,2008,2000
41,6,2008,2000
42,7,2008,2000
43,8,2008,2000
44,9,2008,2000
45,10,2008,2000
46,11,2008,2000
47,12,2008,2000
48,1,2009,2000
49,2,2009,2000
50,3,2009,2000
51,4,2009,2000
52,5,2009,2000
53,6,2009,2000
54,7,2009,2000
55,8,2009,2000
56,9,2009,2000
57,10,2009,2000
58,11,2009,2000
59,12,2009,2000
60,1,2010,2010
61,2,2010,2010
62,3,2010,2010
63,4,2010,2010
64,5,2010,2010
65,6,2010,2010
66,7,2010,2010
67,8,2010,2010
68,9,2010,2010
69,10,2010,2010
70,11,2010,2010
71,12,2010,2010
72,1,2011,2010
73,2,2011,2010
74,3,2011,2010
75,4,2011,2010
76,5,2011,2010
77,6,2011,2010
78,7,2011,2010
79,8,2011,2010
80,9,2011,2010
81,10,2011,2010
82,11,2011,2010
83,12,2011,2010
84,1,2012,2010
85,2,2012,2010
86,3,2012,2010
87,4,2012,2010
88,5,2012,2010
89,6,2012,2010
90,7,2012,2010
91,8,2012,2010
92,9,2012,2010
93,10,2012,2010
94,11,2012,2010
95,12,2012,2010
96,1,2013,2010
97,2,2013,2010
98,3,2013,2010
99,4,2013,2010
100,5,2013,2010
101,6,2013,2010
102,7,2013,2010
103,8,2013,2010
104,9,2013,2010
105,10,2013,2010
106,11,2013,2010
107,12,2013,2010
108,1,2014,2010
109,2,2014,2010
110,3,2014,2010
111,4,2014,2010
112,5,2014,2010
113,6,2014,2010
114,7,2014,2010
115,8,2014,2010
116,9,2014,2010
117,10,2014,2010
118,11,2014,2010
119,12,2014,2010
120,1,2015,2010
121,2,2015,2010
122,3,2015,2010
123,4,2015,2010
124,5,2015,2010
125,6,2015,2010
126,7,2015,2010
127,8,2015,2010
128,9,2015,2010
129,10,2015,2010
130,11,2015,2010
131,12,2015,2010
132,1,2016,2010
133,2,2016,2010
134,3,2016,2010
135,4,2016,2010
136,5,2016,2010
137,6,2016,2010
138,7,2016,2010
139,8,2016,2010
140,9,2016,2010
141,10,2016,2010
142,11,2016,2010
143,12,2016,2010
144,1,2017,2010
145,2,2017,2010
146,3,2017,2010
147,4,2017,2010
148,5,2017,2010
149,6,2017,2010
150,7,2017,2010
151,8,2017,2010
152,9,2017,2010
153,10,2017,2010
154,11,2017,2010
155,12,2017,2010
156,1,2018,2010
157,2,2018,2010
158,3,2018,2010
159,4,2018,2010
160,5,2018,2010
161,6,2018,2010
162,7,2018,2010
163,8,2018,2010
164,9,2018,2010
165,10,2018,2010
166,11,2018,2010
167,12,2018,2010
168,1,2019,2010
169,2,2019,2010
170,3,2019,2010
171,4,2019,2010
172,5,2019,2010
173,6,2019,2010
174,7,2019,2010
175,8,2019,2010
176,9,2019,2010
177,10,2019,2010
178,11,2019,2010
179,12,2019,2010
180,1,2020,2020
181,2,2020,2020
182,3,2020,2020
183,4,2020,2020
184,5,2020,2020
185,6,2020,2020
186,7,2020,2020
187,8,2020,2020
188,9,2020,2020
189,10,2020,2020
190,11,2020,2020
191,12,2020,2020
